Rank,Stocks (5218),Sub-Sector,?Market Cap,Alpha,Beta,5Y CAGR,Debt to Equity,EPS (Q),PE Ratio,PB Ratio,,,,,,,,,
448,NAVA,Iron & Steel,"11,782.17",60.86,1.46,63.26,0.05,4.31,9.38,1.42,,,,,,,,,
449,FINEORG,Specialty Chemicals,"11,779.56",-7.45,0.34,11.48,0,26.97,28.6,6.13,,,,,,,,,
450,NCC,Construction & Engineering,"11,734.45",34.03,1.83,34.92,0.14,3.08,16.51,1.72,,,,,,,,,
451,SANOFI,Pharmaceuticals,"11,687.23",4.21,0.68,2.11,0.02,35.69,19.39,11.51,,,,,,,,,
452,TECHNOE,Construction & Engineering,"11,634.61",48.4,0.57,27.27,0,8.25,43.34,5.38,,,,,,,,,
453,GPIL,Iron & Steel,"11,578.62",33.89,1.47,77.05,0.01,2.36,12.38,2.54,,,,,,,,,
454,FINPIPE,Building Products - Pipes,"11,529.08",-1.88,0.79,10.46,0.07,1.52,24.34,2.05,,,,,,,,,
455,NUVOCO,Cement,"11,518.29",-4.19,1.13,-,0.49,-1.72,78.16,1.28,,,,,,,,,
456,PGINVIT,Power Transmission & Distribution,"11,516.95",-,-,-,0.07,2.14,12.43,1.41,,,,,,,,,
457,SONATSOFTW,IT Services & Consulting,"11,430.69",6.71,1.65,26.46,0.54,3.78,37.05,8.13,,,,,,,,,
458,NSLNISP,Iron & Steel,"11,405.92",-0.19,-,-,0.43,-2.59,-7.31,0.74,,,,,,,,,
459,WELSPUNLIV,Textiles,"11,299.57",-0.99,1.2,21.31,0.57,1.27,16.59,2.45,,,,,,,,,
460,IWEL,Heavy Electrical Equipments,"11,250.99",89.26,1.02,-,0.61,32.2,-166.68,3.32,,,,,,,,,
461,CUB,Private Banks,"11,187.40",-1.68,1.2,-7.49,0,3.86,11.01,1.33,,,,,,,,,
462,KSB,Industrial Machinery,"11,171.58",39.01,1.13,35.34,0,3.55,53.52,8.58,,,,,,,,,
463,SPLPETRO,Specialty Chemicals,"11,137.69",21.18,0.63,47.5,0.06,3.79,32.15,5.52,,,,,,,,,
464,J&KBANK,Private Banks,"11,130.75",29.23,1.66,38.34,0,4.8,6.28,0.91,,,,,,,,,
465,CEATLTD,Tires & Rubber,"11,058.65",31.22,0.8,21.28,0.44,24.01,17.21,2.73,,,,,,,,,
466,RELAXO,Footwear,"11,031.71",-36.85,0.59,-11.26,0.1,1.32,55.03,5.51,,,,,,,,,
467,SHAKTIPUMP,Industrial Machinery,"10,983.64",87.69,1.34,85.78,0.11,8.66,77.5,14.53,,,,,,,,,
468,BEML,Rail,"10,969.99",20.84,1.52,24.65,0.03,5.86,38.93,4.11,,,,,,,,,
469,MAHSCOOTER,Two Wheelers,"10,959.77",27.05,1.53,15.2,0,2.9,54.99,0.41,,,,,,,,,
470,INGERRAND,Industrial Machinery,"10,934.05",29.83,0.35,40.21,0.01,24.6,49.17,18.84,,,,,,,,,
471,JUBLINGREA,Specialty Chemicals,"10,747.13",4.9,1.14,-,0.27,4.39,58.77,3.93,,,,,,,,,
472,ICICIB22,Equity,"10,739.05",5.41,1,25,-,-,-,-,,,,,,,,,
473,SANOFICONR,Pharmaceuticals,"10,726.05",-,-,-,0,19.25,59.26,"6,309.44",,,,,,,,,
474,ELECON,Heavy Electrical Equipments,"10,667.97",61.64,1.61,96.14,0.04,4.79,30,6.65,,,,,,,,,
475,SAFARI,Apparel & Accessories,"10,647.00",56.55,0.91,47.22,0.18,6.37,60.56,12.93,,,,,,,,,
476,BANKBEES,Equity,"10,625.95",-6.22,1.29,9.78,-,-,-,-,,,,,,,,,
477,ZYDUSWELL,FMCG - Foods,"10,581.07",-1.46,0.5,2.26,0.06,1.01,39.64,1.98,,,,,,,,,
478,TITAGARH,Rail,"10,546.30",81.71,1.81,76.9,0.07,4.66,36.86,4.75,,,,,,,,,
479,RITES,Business Support Services,"10,484.37",15.45,0.55,6.47,0,2.08,23.02,3.85,,,,,,,,,
480,SAPPHIRE,Restaurants & Cafes,"10,473.07",2.31,-,-,0.87,0.37,198.35,7.82,,,,,,,,,
481,LEMONTREE,"Hotels, Resorts & Cruise Lines","10,418.34",26.07,1.25,16.13,1.51,0.79,70.17,6.74,,,,,,,,,
482,GANESHHOUC,Real Estate,"10,290.80",65.17,1.27,106.46,0.01,19.29,22.34,6.56,,,,,,,,,
483,GRINFRA,Construction & Engineering,"10,262.21",-15.51,1.51,-,0.5,27.06,7.75,1.35,,,,,,,,,
484,MARKSANS,Pharmaceuticals,"10,243.77",47.79,1.37,62.26,0.12,2.31,32.65,4.91,,,,,,,,,
485,VIJAYA,Hospitals & Diagnostic Centres,"10,203.07",33.67,0.31,-,0.39,3.42,85.86,15.46,,,,,,,,,
486,HAPPSTMNDS,IT Services & Consulting,"10,084.40",-20.2,1.09,-,0.35,3.33,40.6,6.81,,,,,,,,,
487,INTELLECT,Software Services,"10,058.69",-1.46,2.14,38.47,0.02,5.11,31.32,4.1,,,,,,,,,
488,AETHER,Specialty Chemicals,"10,040.40",-0.6,-,-,0.09,3.27,121.72,4.87,,,,,,,,,
489,PRAJIND,Construction & Engineering,"9,996.67",13,1.51,39.32,0.13,2.23,35.28,7.84,,,,,,,,,
490,EUREKAFORB,Home Electronics & Appliances,"9,993.20",-,-,-,0.01,1.81,104.49,2.36,,,,,,,,,
491,RELINFRA,Power Infrastructure,"9,983.04",30.5,2.99,60.96,0.71,-83.26,-6.21,0.72,,,,,,,,,
492,PVRINOX,Theatres,"9,937.84",-21.07,1.01,-13.03,1.13,3.66,-310.56,1.36,,,,,,,,,
493,RBLBANK,Private Banks,"9,882.55",-3.98,1.75,-12.04,0,0.78,7.84,0.67,,,,,,,,,
494,AVANTIFEED,Packaged Foods & Meats,"9,869.63",12.79,1.07,5.33,0.01,9.92,27.64,3.67,,,,,,,,,
495,JMFINANCIL,Investment Banking & Brokerage,"9,827.18",7.68,1.08,-3.33,1.47,2.19,23.98,0.89,,,,,,,,,
496,RAILTEL,Communication & Networking,"9,804.67",39.09,1.11,-,0.02,2.03,39.82,5.37,,,,,,,,,
497,OLECTRA,Electrical Components & Equipments,"9,786.08",20.99,1.97,51.77,0.13,5.64,127.34,10.68,,,,,,,,,
498,ZENTEC,Electronic Equipments,"9,776.81",60.74,2.13,79.73,0.01,4.42,76.45,20.97,,,,,,,,,
499,GRWRHITECH,Commodity Chemicals,"9,774.45",62.24,-,-,0,26.17,48.08,4.78,,,,,,,,,
500,JLHL,Hospitals & Diagnostic Centres,"9,771.96",-,-,-,0,8.01,55.33,8.36,,,,,,,,,
501,CHOICEIN,Investment Banking & Brokerage,"9,764.15",63.14,-,-,0.71,1.54,74.62,15.25,,,,,,,,,
502,SAMMAANCAP,Home Financing,"9,754.76",-14.76,2.49,-16.92,2.45,4.17,8.03,0.49,,,,,,,,,
503,BIRET,Real Estate,"9,717.19",-,-,-,0.98,0.68,411.92,0.79,,,,,,,,,
504,BALRAMCHIN,Sugar,"9,697.37",3.9,0.78,23.88,0.59,3.49,18.14,2.85,,,,,,,,,
505,CRAFTSMAN,Industrial Machinery,"9,689.06",18.29,1.53,-,1,-0.87,31.82,5.53,,,,,,,,,
506,SAREGAMA,Movies & TV Serials,"9,618.34",8.18,1.9,69.34,0,3.24,48.68,6.53,,,,,,,,,
507,INDIGRID,Power Transmission & Distribution,"9,591.90",12.68,0.15,8.05,3.59,1.22,33.61,1.78,,,,,,,,,
508,JPPOWER,Renewable Energy,"9,540.01",24.15,1.73,56.14,0.37,0.14,9.34,0.83,,,,,,,,,
509,ENGINERSIN,Construction & Engineering,"9,518.75",30.4,1.04,15.64,0.01,1.94,21.38,4.22,,,,,,,,,
510,SBFC,Specialized Finance,"9,428.81",-,-,-,1.44,0.82,39.77,3.39,,,,,,,,,
511,TTKPRESTIG,Home Electronics & Appliances,"9,413.94",-7.94,0.68,3.22,0.09,4.27,41.2,4.51,,,,,,,,,
512,ZEEL,TV Channels & Broadcasters,"9,395.80",-33.45,1.35,-17.55,0.02,1.7,66.45,0.86,,,,,,,,,
513,USHAMART,Iron & Steel,"9,309.87",38.53,1.13,65.24,0.15,3.04,21.96,3.91,,,,,,,,,
514,ABDL,Alcoholic Beverages,"9,286.38",-,-,-,2.05,2.05,"5,074.52",22.82,,,,,,,,,
515,WAAREERTL,Renewable Energy,"9,270.13",98.76,0.5,226.52,0.18,5.14,62.58,39.95,,,,,,,,,
516,TEGA,Industrial Machinery,"9,209.18",40.65,-,-,0.26,8.15,47.5,7.73,,,,,,,,,
517,RAYMOND,Apparel & Accessories,"9,191.42",31.78,1.36,31.41,0.83,10.84,5.61,1.82,,,,,,,,,
518,AMIORG,Pharmaceuticals,"9,170.34",29.75,0.98,-,0.32,11.35,214.51,13.43,,,,,,,,,
519,QUESS,Employment Services,"9,163.97",-5.73,1.46,2.51,0.28,5.42,32.98,3.09,,,,,,,,,
520,FORCEMOT,Four Wheelers,"9,155.26",59.54,1.08,40.46,0.23,87.52,23.59,4.06,,,,,,,,,
521,MAPMYINDIA,Software Services,"9,110.46",7.31,-,-,0.04,5.96,68.01,13.81,,,,,,,,,
522,EDELWEISS,Diversified Financials,"9,092.39",36.34,1.69,15.91,3.37,1.69,21.61,1.5,,,,,,,,,
523,ITDCEM,Construction & Engineering,"9,075.54",67.25,1.66,55.88,0.59,5.07,33.16,6.06,,,,,,,,,
524,TIMETECHNO,Plastic Products,"9,064.68",60.15,1.29,50.32,0.32,4.44,29.2,3.46,,,,,,,,,
525,NETWEB,IT Services & Consulting,"9,061.79",-,-,-,0.02,5.38,119.38,21.44,,,,,,,,,
526,WABAG,Water Management,"8,918.73",48.15,2.01,45.92,0.16,8.51,36.31,4.89,,,,,,,,,
527,MAHSEAMLES,Building Products - Pipes,"8,897.55",29.94,1.11,30.73,0,13.89,9.35,1.55,,,,,,,,,
528,REDTAPE,Retail - Apparel,"8,853.21",-,-,-,0.74,1.32,50.23,13.65,,,,,,,,,
529,SHRIPISTON,Auto Parts,"8,826.04",64.32,1.29,42.79,0.24,27.22,19.94,4.37,,,,,,,,,
530,PGHL,Pharmaceuticals,"8,757.17",2.69,0.63,4.87,0.02,54.76,43.57,16.27,,,,,,,,,
531,RELIGARE,Investment Banking & Brokerage,"8,725.62",24.11,1.59,42.16,0.14,-1.3,37.46,2.75,,,,,,,,,
532,DATAPATTNS,Aerospace & Defense Equipments,"8,697.67",27.27,-,-,0,7.97,47.87,6.57,,,,,,,,,
533,ALKYLAMINE,Specialty Chemicals,"8,671.14",-23.47,1.2,20.98,0,8.56,58.25,6.84,,,,,,,,,
534,BANKNIFTY1,Equity,"8,642.35",-6.5,1.34,9.71,-,-,-,-,,,,,,,,,
535,MEDPLUS,Online Services,"8,636.90",-11.3,-,-,0.64,3.84,131.86,5.48,,,,,,,,,
536,ASKAUTOLTD,Auto Parts,"8,597.39",-,-,-,0.42,3.34,49.48,10.53,,,,,,,,,
537,BENGALASM,Diversified Financials,"8,530.82",36.8,0.43,35.71,0.05,"2,622.07",2.19,0.92,,,,,,,,,
538,KIRLOSENG,Industrial Machinery,"8,496.32",47.06,1.42,33.28,1.56,4.91,19.23,3.19,,,,,,,,,
539,GMDCLTD,Mining - Diversified,"8,489.01",20.6,1.33,35.59,0,4.64,13.75,1.39,,,,,,,,,
540,TIPSMUSIC,Movies & TV Serials,"8,486.10",47.73,0.88,119.94,0.03,3.46,66.73,47.28,,,,,,,,,
541,METROPOLIS,Hospitals & Diagnostic Centres,"8,474.21",-11.87,0.82,-1.99,0.18,6.12,66.3,7.71,,,,,,,,,
542,MMTC,Commodities Trading,"8,467.50",2.23,1.62,23.81,0.1,0.02,44.06,5.21,,,,,,,,,
543,BECTORFOOD,FMCG - Foods,"8,446.23",46.68,0.87,-,0.37,5.64,60.17,12.74,,,,,,,,,
544,ARVIND,Apparel & Accessories,"8,428.93",27.71,1.37,52.18,0.4,3.96,25.04,2.33,,,,,,,,,
545,RHIM,Cement,"8,418.03",-9.57,1.25,12.91,0.13,2.3,-83.79,2.19,,,,,,,,,
546,HOMEFIRST,Home Financing,"8,386.63",9.17,0.58,-,3.44,10.9,27.43,3.95,,,,,,,,,
547,CAMPUS,Apparel & Accessories,"8,384.71",-13.04,-,-,0.27,1.52,93.75,12.87,,,,,,,,,
548,GENUSPOWER,Electronic Equipments,"8,380.82",46.7,1.37,60.12,0.37,2.05,96.7,5.34,,,,,,,,,
549,SETFNIF50,Equity,"8,375.51",1.43,0.98,14.11,-,-,-,-,,,,,,,,,
550,EBBETF0423,Debt,"8,369.70",6.12,-,3.82,-,-,-,-,,,,,,,,,
551,STARCEMENT,Cement,"8,361.28",23.57,0.66,19.44,0.05,0.22,28.33,3.09,,,,,,,,,
552,JKLAKSHMI,Cement,"8,352.81",8.8,0.95,16.87,0.62,5.05,17.7,2.49,,,,,,,,,
553,HAPPYFORGE,Heavy Machinery,"8,313.10",-,-,-,0.09,6.85,34.21,5.16,,,,,,,,,
554,INOXINDIA,Industrial Machinery,"8,313.03",-,-,-,0.02,6.43,42.41,12.81,,,,,,,,,
555,ALOKINDS,Textiles,"8,311.81",-10.07,2.09,0.85,-,-0.55,-9.82,-0.51,,,,,,,,,
556,LATENTVIEW,IT Services & Consulting,"8,308.41",-7.83,-,-,0.02,2.03,52.37,6.05,,,,,,,,,
557,TRIVENI,Sugar,"8,271.06",9.74,1.03,36.29,0.49,1.94,20.93,2.85,,,,,,,,,
558,GRAPHITE,Electrical Components & Equipments,"8,213.59",-9.64,1.98,9.46,0.03,-1.03,10.16,1.46,,,,,,,,,
559,KIRLFER,Iron & Steel,"8,193.25",26.99,1.2,47.91,0.38,3.3,27.51,2.54,,,,,,,,,
560,NAZARA,Theme Parks & Gaming,"8,077.32",-1.8,0.49,-,0.01,3.84,142.78,3.46,,,,,,,,,
561,GALLANTT,Iron & Steel,"8,076.88",57.71,1.09,66.01,0.19,4.71,35.84,3.3,,,,,,,,,
562,GALAXYSURF,Specialty Chemicals,"8,069.32",-9.86,0.96,6.5,0.09,18.22,26.77,3.7,,,,,,,,,
563,SFL,Home Furnishing,"8,034.36",-30.16,0.77,-2.43,0.5,1.73,44.04,2.7,,,,,,,,,
564,KAMAHOLD,Conglomerates,"8,031.15",4.59,0.89,17.87,0.41,42.78,9.19,0.65,,,,,,,,,
565,AZAD,Renewable Energy Equipment & Services,"8,027.84",-,-,-,0.06,4.05,137.06,12.45,,,,,,,,,
566,INDIACEM,Cement,"8,021.69",3.43,0.52,27.93,0.47,162.41,-35.28,1.43,,,,,,,,,
567,CCL,Tea & Coffee,"8,007.00",3.85,0.68,19.21,0.97,4.73,32.02,4.78,,,,,,,,,
568,JKTYRE,Tires & Rubber,"8,002.75",29.2,1.2,33.82,1,1.88,10.18,1.74,,,,,,,,,
569,NATIONSTD,Real Estate,"7,993.90",-12.64,1.02,145.36,0,1.08,542.33,30.85,,,,,,,,,
570,GNFC,Fertilizers & Agro Chemicals,"7,988.43",-8.72,1.28,25.17,0,11.09,16.07,0.96,,,,,,,,,
571,PRUDENT,Asset Management,"7,983.41",44.82,-,-,0.04,11.64,57.53,16.59,,,,,,,,,
572,CANFINHOME,Home Financing,"7,969.94",-9.1,1.6,3.27,7.34,15.93,10.62,1.83,,,,,,,,,
573,KPIGREEN,Renewable Energy,"7,943.55",81.76,0.89,-,1.24,4.29,49.13,9.51,,,,,,,,,
574,SYMPHONY,Home Electronics & Appliances,"7,826.82",5.38,0.95,-3.73,0.23,-1.37,52.84,10.45,,,,,,,,,
575,GMRP&UI,Power Generation,"7,818.16",40.01,-,-,-,-1.49,-75.88,-2.62,,,,,,,,,
576,BIRLACORPN,Cement,"7,777.93",-9.44,1.13,6.49,0.58,4.06,18.49,1.17,,,,,,,,,
577,VESUVIUS,Industrial Machinery,"7,770.05",43.12,0.79,27.18,0.01,33.73,36.49,6.51,,,,,,,,,
578,BAJAJELEC,Home Electronics & Appliances,"7,727.93",-19.05,1.13,13.04,0.15,2.89,58.96,5.36,,,,,,,,,
579,LLOYDSENGG,Industrial Machinery,"7,701.78",59.39,0.93,167.82,0.18,0.31,96.47,18.73,,,,,,,,,
580,AURIONPRO,IT Services & Consulting,"7,648.18",79.12,0.59,127.41,0.09,8.81,54.25,8.09,,,,,,,,,
581,TCI,Logistics,"7,640.18",12.7,0.55,30.71,0.1,13.04,21.78,3.75,,,,,,,,,
582,GARFIBRES,Textiles,"7,607.73",3.52,0.87,22.57,0.1,4.8,36.54,6.17,,,,,,,,,
583,AKUMS,Pharmaceuticals,"7,604.58",-,-,-,0.78,4.26,"-1,886.99",10.55,,,,,,,,,
584,PNGJL,"Precious Metals, Jewellery & Watches","7,600.35",-,-,-,0.85,6.34,49.24,14.22,,,,,,,,,
585,EPL,Packaging,"7,584.18",11.07,0.79,4.82,0.44,2.93,35.57,3.63,,,,,,,,,
586,SYRMA,Electronic Equipments,"7,577.46",9.71,-,-,0.38,2.74,70.6,4.52,,,,,,,,,
587,MASTEK,IT Services & Consulting,"7,540.23",-14.21,1.79,41.95,0.25,30.68,25.11,3.61,,,,,,,,,
588,GSFC,Fertilizers & Agro Chemicals,"7,532.82",8.87,1.45,22.05,0,3.36,13.36,0.59,,,,,,,,,
589,CMSINFO,Software Services,"7,529.56",12.29,-,-,0,5.68,21.69,3.87,,,,,,,,,
590,SCI,Logistics,"7,522.19",20.83,1.12,30.26,0.39,1.62,11.08,1,,,,,,,,,
591,CHENNPETRO,Oil & Gas - Refining & Marketing,"7,521.51",59.49,1.13,34.86,0.25,1.4,2.74,0.81,,,,,,,,,
592,CERA,Building Products - Ceramics,"7,514.01",8.92,0.47,18.72,0.03,35.52,31.44,5.53,,,,,,,,,
593,EPIGRAL,Commodity Chemicals,"7,498.40",25.06,1.51,-,0.69,24.25,38.28,5.73,,,,,,,,,
594,INDIASHLTR,Home Financing,"7,489.80",-,-,-,1.49,8.94,30.25,3.26,,,,,,,,,
595,BLACKBUCK,Logistics,"7,426.23",-,-,-,0.59,-2.8,-38.29,23.86,,,,,,,,,
596,SANSERA,Auto Parts,"7,412.97",13.84,1.43,-,0.65,9.19,39.9,5.44,,,,,,,,,
597,JUSTDIAL,Online Services,"7,380.22",1.51,1.38,11.72,0.02,13.61,20.34,1.83,,,,,,,,,
598,ISGEC,Heavy Machinery,"7,311.41",15.65,1.2,-,0.31,2.73,30.01,2.79,,,,,,,,,
599,RAYMONDLSL,Apparel & Accessories,"7,284.33",-,-,-,0,10.53,3.3,3.11,,,,,,,,,
600,BORORENEW,Housewares,"7,283.68",-1.1,2.08,21.43,0.65,-2.05,-155.27,8.16,,,,,,,,,
601,HONASA,FMCG - Personal Products,"7,269.24",-,-,-,0.12,0.8,65.04,6.64,,,,,,,,,
602,ESABINDIA,Industrial Machinery,"7,264.66",17.65,0.7,25.11,0.01,26.24,44.57,23.74,,,,,,,,,
603,HGINFRA,Construction & Engineering,"7,227.80",14.29,1.06,34.37,0.62,17.66,13.42,2.94,,,,,,,,,
604,IIFLCAPS,Diversified Financials,"7,225.30",33.08,1.28,32.92,0.65,6.39,14.1,4.04,,,,,,,,,
605,RCF,Fertilizers & Agro Chemicals,"7,203.94",14.06,1.57,24.99,0.72,1.45,31.98,1.56,,,,,,,,,
606,MAXESTATES,Real Estate,"7,182.77",-,-,-,0.66,1.04,-170.37,4.95,,,,,,,,,
607,PARADEEP,Fertilizers & Agro Chemicals,"7,182.00",24.76,-,-,1.13,1.95,71.88,2.01,,,,,,,,,
608,BBOX,Software Services,"7,161.68",37.59,1.34,39.9,1.48,3.33,52.02,14.89,,,,,,,,,
609,NETWORK18,Movies & TV Serials,"7,141.00",-18.42,1.14,8.68,0.29,-9.38,-34.61,0.25,,,,,,,,,
610,JINDWORLD,Textiles,"7,125.49",11.8,0.81,42.7,1.23,0.92,94.19,9.91,,,,,,,,,
611,ANURAS,Specialty Chemicals,"7,036.16",-11.68,1.25,-,0.37,2.57,54.71,2.4,,,,,,,,,
612,TRANSRAILL,Power Infrastructure,"7,021.59",-,-,-,0.59,7.48,30.11,6.16,,,,,,,,,
613,DBREALTY,Real Estate,"7,008.13",18.06,0.84,73.41,0.42,0.08,5.31,1.36,,,,,,,,,
614,VARROC,Auto Parts,"6,998.38",1.71,1.9,2.62,0.91,-3.1,13.3,4.59,,,,,,,,,
615,CARTRADE,Online Services,"6,979.27",38.75,0.15,-,0.05,8.95,488.06,3.24,,,,,,,,,
616,SUDARSCHEM,Diversified Chemicals,"6,978.45",10.37,0.65,13.77,0.41,0.01,19.52,6.07,,,,,,,,,
617,HCG,Hospitals & Diagnostic Centres,"6,966.65",26.3,0.58,35.89,1.47,0.5,144.75,8.05,,,,,,,,,
618,HEG,Electrical Components & Equipments,"6,932.72",9.61,2.05,12.43,0.14,4.32,22.24,1.57,,,,,,,,,
619,AARTIPHARM,Labs & Life Sciences Services,"6,927.00",56.05,-,-,0.16,8.16,31.94,3.94,,,,,,,,,
620,SANDUMA,Mining - Diversified,"6,926.99",-,-,61.12,0.06,8.48,28.93,3.21,,,,,,,,,
621,PCJEWELLER,"Precious Metals, Jewellery & Watches","6,918.23",78.13,2.19,46.35,1.42,0.29,-10.99,2.36,,,,,,,,,
622,PNCINFRA,Construction & Engineering,"6,904.75",-5.19,1.53,6.3,1.55,3.17,7.59,1.33,,,,,,,,,
623,VOLTAMP,Heavy Electrical Equipments,"6,899.98",39.58,0.8,37.01,0,72.55,22.45,5.1,,,,,,,,,
624,AJAXENGG,Construction & Engineering,"6,899.87",-,-,-,0.01,-,30.65,7.52,,,,,,,,,
625,GABRIEL,Auto Parts,"6,898.50",45.01,1.56,36.7,0.07,4.18,38.59,6.88,,,,,,,,,
626,ELANTAS,Electrical Components & Equipments,"6,825.30",34.23,0.4,23.36,0,37.52,48.9,9.32,,,,,,,,,
627,EQUITASBNK,Private Banks,"6,800.83",3.35,0.83,-,0,0.58,8.51,1.14,,,,,,,,,
628,KIRLPNU,Industrial Machinery,"6,791.82",-,-,48.01,0,5.67,50.96,7.35,,,,,,,,,
629,GREENLAM,Building Products - Laminates,"6,769.71",14.02,1.33,22.23,1.03,0.98,48.91,6.29,,,,,,,,,
630,GOKEX,Apparel & Accessories,"6,753.58",36.92,0.95,71.23,0.62,7.04,51.57,5.23,,,,,,,,,
631,NHIT,Roads,"6,746.84",-,-,-,0.82,0.57,22.93,0.47,,,,,,,,,
632,SHAILY,Industrial Machinery,"6,716.44",42.54,-,-,0.46,5.49,117.24,14.63,,,,,,,,,
633,KOVAI,Hospitals & Diagnostic Centres,"6,710.40",44.83,0.67,-,0.35,52.83,37.34,7.55,,,,,,,,,
634,EBBETF0430,Debt,"6,636.67",6.93,-,7.08,-,-,-,-,,,,,,,,,
635,TANLA,Software Services,"6,635.29",-42.45,2,45.04,0.04,8.82,12.1,3.42,,,,,,,,,
636,TMB,Private Banks,"6,615.92",-9.5,-,-,0,18.96,6.17,0.84,,,,,,,,,
637,ORIENTCEM,Cement,"6,611.72",24.02,1.08,31.51,0.1,0.49,37.81,3.79,,,,,,,,,
638,KESORAMIND,Tires & Rubber,"6,609.99",40.78,1.86,42.04,16.45,-2.23,-17.21,48.76,,,,,,,,,
639,SHILPAMED,Pharmaceuticals,"6,608.71",15.89,1.28,7.71,0.52,3.25,207.36,3.67,,,,,,,,,
640,CHEMPLASTS,Building Products - Pipes,"6,605.03",-7.69,1.17,-,0.91,-3.06,-41.69,3.88,,,,,,,,,
641,PGIL,Apparel & Accessories,"6,601.46",67.78,0.4,82.97,0.72,12.52,37.76,8.08,,,,,,,,,
642,GPPL,Ports,"6,583.00",10.87,0.67,11.87,0.03,2.06,19.25,2.85,,,,,,,,,
643,RUSTOMJEE,Real Estate,"6,581.62",-10.11,-,-,0.61,1.2,58.65,3.67,,,,,,,,,
644,MOIL,Mining - Manganese,"6,574.61",17.75,0.75,18.45,0,3.13,22.41,2.68,,,,,,,,,
645,KNRCON,Construction & Engineering,"6,569.64",-14.35,1,10.78,0.36,8.84,8.45,1.88,,,,,,,,,
646,FDC,Pharmaceuticals,"6,561.25",11.41,0.76,10.04,0.01,2.28,21.5,3.13,,,,,,,,,
647,ROUTE,IT Services & Consulting,"6,547.81",-15.35,1.1,-,0.17,13.1,17.46,3.02,,,,,,,,,
648,HNDFDS,FMCG - Foods,"6,540.18",7.55,1.14,30.94,1.13,2.44,70.32,10.11,,,,,,,,,
649,SWSOLAR,Renewable Energy Equipment & Services,"6,502.82",-6.42,2.39,4.18,0.54,0.64,-30.69,6.81,,,,,,,,,
650,BBETF0432,Debt,"6,496.91",-,-,-,-,-,-,-,,,,,,,,,
651,RENUKA,Sugar,"6,440.81",-4.07,1.26,33.64,-,-0.96,-10.27,-4.48,,,,,,,,,
652,NESCO,Real Estate,"6,429.47",11.99,0.76,4.66,0,15.6,17.72,2.8,,,,,,,,,
653,KTKBANK,Private Banks,"6,424.81",29.28,1.24,19.66,0,7.51,4.92,0.59,,,,,,,,,
654,DBL,Construction & Engineering,"6,418.11",12.04,1.43,4.83,1.66,10.78,33.08,1.47,,,,,,,,,
655,RTNINDIA,Power Trading & Consultancy,"6,397.65",-5.38,1.1,73.46,1.4,-1.23,15.01,7.57,,,,,,,,,
656,MHRIL,"Hotels, Resorts & Cruise Lines","6,394.78",10.09,0.74,16.22,5.13,1.73,55.35,11.99,,,,,,,,,
657,MANORAMA,Packaged Foods & Meats,"6,376.50",62.77,-,-,1.03,5.11,159.02,18.92,,,,,,,,,
658,ANUP,Textiles,"6,368.12",70.51,0.85,61.96,0.04,15.11,61.55,12.05,,,,,,,,,
659,ETHOSLTD,"Precious Metals, Jewellery & Watches","6,353.04",46.46,-,-,0.16,12.05,76.27,7.19,,,,,,,,,
660,ENERGYINF,Oil & Gas - Storage & Transportation,"6,347.84",-,-,-,0.98,-,7.72,0.97,,,,,,,,,
661,IONEXCHANG,Environmental Services,"6,337.06",33.98,-,-,0.15,4.1,32.33,6.21,,,,,,,,,
662,LLOYDSENT,Iron & Steel,"6,325.01",-,-,104.5,0.06,0.33,53.8,3.09,,,,,,,,,
663,RATEGAIN,Software Services,"6,323.16",15.92,-,-,0.01,4.8,43.49,4.36,,,,,,,,,
664,EMUDHRA,IT Services & Consulting,"6,316.88",47.72,-,-,0.01,2.58,84.16,9.54,,,,,,,,,
665,WELENT,Construction & Engineering,"6,312.76",56.89,1.12,44.78,0.31,5.2,21.39,2.54,,,,,,,,,
666,SOUTHBANK,Private Banks,"6,289.57",38.02,1.36,21.96,0,1.31,5.88,0.71,,,,,,,,,
667,KRBL,Packaged Foods & Meats,"6,286.46",9.32,1.39,-1.37,0.11,5.79,10.55,1.29,,,,,,,,,
668,INTERISE,-,"6,266.15",-,-,1.48,1.38,-9.54,-39.88,1.02,,,,,,,,,
669,ELECTCAST,Building Products - Pipes,"6,264.68",27.78,1.21,45.95,0.46,2.59,8.47,1.22,,,,,,,,,
670,UJJIVANSFB,Private Banks,"6,259.03",17.15,1.22,-9.49,0,0.56,4.88,1.11,,,,,,,,,
671,HMT,Industrial Machinery,"6,229.97",26.05,1.28,35.69,-,-1.44,2.44,-3.56,,,,,,,,,
672,MANINFRA,Construction & Engineering,"6,214.80",11.7,1.39,54.6,0.09,2.25,20.69,4.1,,,,,,,,,
673,PDSL,Textiles,"6,200.43",8.27,0.69,40.82,0.85,1.77,42.99,4.98,,,,,,,,,
674,THOMASCOOK,Tour & Travel Services,"6,173.41",19.41,1.64,21.78,0.21,1.14,23.83,3.04,,,,,,,,,
675,DODLA,FMCG - Foods,"6,170.03",26.25,0.69,-,0.04,10.54,37.01,5.42,,,,,,,,,
676,INA,Renewable Energy,"6,160.79",145.99,-,-,0.89,-,111.07,56.87,,,,,,,,,
677,PRSMJOHNSN,Cement,"6,146.99",-4.16,1.66,13.81,1.35,0.96,33.94,3.72,,,,,,,,,
