Rank,Stocks (5218),Sub-Sector,?Market Cap,Alpha,Beta,5Y CAGR,Debt to Equity,EPS (Q),PE Ratio,PB Ratio,,,,,,,,,
74,PNB,Public Banks,"1,08,320.99",23.69,1.24,12.27,0,4.18,11.89,0.98,,,,,,,,,
75,GAIL,Gas Distribution,"1,07,969.38",15.71,1.35,15.6,0.28,6.21,10.91,1.4,,,,,,,,,
76,INDHOTEL,"Hotels, Resorts & Cruise Lines","1,07,832.11",36.39,1.18,41.03,0.27,4.09,85.64,10.65,,,,,,,,,
77,GODREJCP,FMCG - Personal Products,"1,07,640.90",6.57,0.48,10.77,0.26,4.87,-192.03,8.54,,,,,,,,,
78,RECLTD,Specialized Finance,"1,06,263.75",45.28,1.08,30.91,6.42,15.48,7.51,1.53,,,,,,,,,
79,TORNTPHARM,Pharmaceuticals,"1,02,865.41",24.7,0.56,22.11,0.59,14.88,62.1,15,,,,,,,,,
80,SHREECEM,Cement,"1,02,489.89",-2.27,0.82,3.08,0.08,53.61,42.78,4.94,,,,,,,,,
81,TATACONSUM,Tea & Coffee,"99,344.77",4.01,0.96,21.72,0.2,2.82,86.36,5.7,,,,,,,,,
82,MAXHEALTH,Hospitals & Diagnostic Centres,"98,210.65",32.09,0.73,-,0.15,2.46,92.86,11.68,,,,,,,,,
83,NAUKRI,Online Services,"97,512.82",6.04,1.26,21.55,0.01,18.75,169.53,3.08,,,,,,,,,
84,MANKIND,Pharmaceuticals,"96,037.97",-,-,-,0.02,9.45,50.21,10.03,,,,,,,,,
85,DRREDDY,Pharmaceuticals,"95,961.20",7.99,0.27,12.09,0.07,16.97,17.2,3.4,,,,,,,,,
86,HAVELLS,Electrical Components & Equipments,"95,313.95",2.15,0.93,19.54,0.04,4.43,75.01,12.8,,,,,,,,,
87,UNITDSPR,Alcoholic Beverages,"95,028.39",6.54,0.95,12.56,0.04,4.72,67.49,13.34,,,,,,,,,
88,BAJAJHFL,Consumer Finance,"94,557.78",-,-,-,5.65,0.66,54.62,7.73,,,,,,,,,
89,APOLLOHOSP,Hospitals & Diagnostic Centres,"90,836.68",5.25,1.08,28.54,0.73,25.89,101.09,12.41,,,,,,,,,
90,MOTHERSON,Auto Parts,"90,613.41",0.06,1.78,9.46,0.71,1.25,33.36,3.21,,,,,,,,,
91,CGPOWER,Heavy Electrical Equipments,"90,195.65",35.5,2.06,134.33,0.01,1.57,63.21,29.88,,,,,,,,,
92,DABUR,FMCG - Personal Products,"90,148.80",-8.91,0.52,0.1,0.13,2.95,48.92,8.75,,,,,,,,,
93,ZYDUSLIFE,Pharmaceuticals,"89,086.93",26.96,0.41,25.96,0.04,10.17,23.08,4.03,,,,,,,,,
94,JINDALSTEL,Iron & Steel,"89,072.00",20.59,1.51,35.41,0.37,9.39,15,1.99,,,,,,,,,
95,NTPCGREEN,Renewable Energy,"88,939.91",-,-,-,2.22,0.08,258.01,14.27,,,,,,,,,
